,gender,height
0,0,68
1,0,65
2,0,68
3,0,69
4,1,63
5,1,65
6,1,59
7,0,67
8,1,65
9,0,74
10,1,64
11,0,74
12,1,59
13,0,69
14,1,59
15,0,71
16,0,65
17,0,72
18,0,71
19,1,63
20,0,71
21,0,65
22,0,66
23,0,66
24,0,67
25,1,60
26,1,64
27,0,65
28,1,62
29,1,64
30,0,69
31,0,71
32,0,68
33,0,66
34,0,72
35,0,68
36,1,60
37,0,68
38,0,74
39,1,66
40,1,65
41,0,75
42,0,66
43,1,70
44,0,69
45,0,70
46,1,53
47,1,63
48,1,63
49,0,71
50,0,71
51,1,60
52,1,62
53,1,60
54,0,70
55,0,73
56,0,69
57,1,67
58,1,65
59,1,63
60,1,61
61,0,65
62,0,75
63,0,72
64,0,75
65,0,68
66,1,62
67,1,62
68,0,70
69,1,61
70,0,67
71,0,65
72,0,65
73,0,65
74,0,69
75,0,67
76,1,61
77,1,73
78,1,58
79,1,66
80,1,66
81,1,62
82,0,69
83,1,62
84,0,67
85,1,66
86,1,69
87,1,67
88,0,72
89,0,69
90,0,71
91,1,69
92,0,68
93,0,67
94,0,75
95,0,70
96,1,72
97,1,65
98,0,68
99,1,61
100,1,70
101,0,67
102,0,72
103,0,69
104,0,67
105,0,60
106,1,68
107,1,66
108,0,70
109,1,68
110,1,65
111,1,61
112,0,73
113,0,71
114,0,69
115,0,72
116,1,60
117,0,71
118,0,71
119,0,69
120,1,68
121,1,62
122,1,59
123,0,72
124,0,69
125,0,74
126,1,67
127,0,63
128,0,67
129,1,66
130,1,70
131,0,69
132,1,64
133,1,66
134,0,69
135,0,70
136,1,58
137,0,63
138,0,67
139,0,75
140,0,71
141,0,68
142,0,70
143,1,67
144,1,63
145,1,64
146,0,67
147,1,64
148,0,69
149,0,67
150,0,65
151,1,60
152,0,70
153,1,64
154,1,60
155,0,69
156,1,63
157,1,61
158,1,62
159,1,58
160,1,57
161,1,69
162,1,73
163,0,70
164,0,69
165,0,68
166,0,64
167,1,60
168,0,68
169,0,68
170,0,66
171,1,66
172,1,59
173,1,65
174,0,71
175,0,74
176,1,63
177,0,74
178,1,65
179,0,71
180,0,69
181,0,66
182,1,64
183,0,66
184,1,61
185,0,73
186,1,72
187,1,65
188,1,60
189,1,62
190,0,69
191,0,76
192,0,67
193,1,66
194,1,66
195,0,67
196,1,68
197,0,71
198,1,61
199,1,62
200,1,62
201,1,53
202,0,72
203,0,69
204,0,66
205,0,70
206,0,70
207,1,63
208,0,66
209,1,69
210,0,69
211,1,59
212,0,71
213,1,66
214,0,66
215,0,70
216,1,66
217,1,62
218,1,62
219,0,70
220,1,61
221,1,68
222,1,62
223,1,66
224,1,63
225,0,73
226,1,69
227,1,64
228,0,73
229,0,71
230,0,75
231,0,69
232,0,59
233,1,59
234,1,59
235,0,67
236,1,68
237,0,69
238,1,60
239,0,67
240,0,69
241,0,66
242,0,71
243,0,69
244,1,65
245,1,61
246,1,62
247,1,68
248,0,69
249,1,61
250,0,69
251,0,68
252,0,69
253,1,64
254,0,69
255,1,69
256,0,67
257,0,64
258,0,68
259,0,76
260,0,71
261,1,65
262,0,67
263,0,64
264,0,67
265,1,64
266,0,73
267,0,66
268,1,59
269,1,61
270,0,75
271,1,69
272,1,57
273,0,73
274,0,69
275,1,54
276,1,69
277,1,61
278,0,78
279,0,80
280,0,72
281,1,66
282,1,72
283,0,61
284,1,65
285,0,72
286,0,68
287,0,65
288,0,72
289,0,73
290,0,73
291,1,65
292,1,70
293,1,62
294,0,70
295,1,63
296,1,56
297,1,59
298,1,53
299,1,62
300,0,72
301,0,73
302,0,69
303,0,71
304,1,54
305,0,63
306,0,65
307,0,70
308,0,69
309,0,70
310,0,71
311,1,65
312,0,73
313,1,66
314,0,73
315,0,65
316,0,71
317,0,67
318,1,65
319,0,73
320,1,57
321,0,71
322,0,67
323,0,68
324,1,63
325,0,65
326,0,66
327,1,62
328,0,74
329,0,70
330,1,59
331,1,66
332,1,69
333,1,65
334,1,68
335,0,70
336,0,74
337,0,68
338,0,71
339,0,71
340,1,61
341,1,66
342,1,64
343,1,62
344,1,67
345,1,62
346,1,65
347,1,65
348,1,55
349,0,70
350,0,69
351,1,68
352,0,68
353,1,64
354,0,71
355,0,64
356,0,68
357,1,63
358,1,74
359,1,59
360,1,67
361,1,58
362,0,66
363,0,66
364,1,64
365,0,70
366,1,65
367,0,76
368,1,59
369,1,67
370,0,68
371,0,69
372,0,71
373,1,65
374,0,68
375,0,69
376,1,69
377,0,68
378,1,63
379,1,63
380,0,75
381,1,62
382,0,70
383,1,68
384,1,71
385,1,64
386,1,63
387,1,67
388,0,69
389,1,61
390,0,70
391,0,69
392,1,61
393,1,65
394,0,75
395,0,75
396,1,64
397,1,60
398,1,64
399,0,76
400,0,72
401,0,72
402,1,70
403,1,64
404,1,63
405,1,68
406,0,71
407,0,66
408,1,64
409,0,64
410,1,59
411,1,60
412,1,61
413,1,63
414,0,74
415,0,67
416,1,69
417,1,60
418,1,67
419,1,63
420,0,68
421,1,64
422,1,62
423,0,73
424,0,69
425,0,73
426,0,68
427,1,56
428,1,64
429,0,73
430,1,66
431,0,69
432,1,65
433,0,68
434,0,70
435,1,64
436,1,61
437,1,68
438,0,68
439,1,69
440,1,67
441,0,65
442,0,69
443,1,53
444,0,73
445,0,69
446,0,68
447,1,66
448,0,70
449,1,67
450,1,71
451,0,69
452,0,69
453,0,69
454,1,70
455,0,67
456,1,71
457,1,72
458,0,67
459,0,68
460,0,69
461,0,71
462,0,67
463,1,61
464,1,59
465,1,66
466,1,66
467,0,66
468,1,60
469,1,60
470,1,61
471,0,69
472,1,63
473,0,68
474,1,69
475,0,68
476,1,65
477,1,60
478,1,62
479,1,61
480,1,61
481,0,73
482,0,70
483,1,63
484,1,61
485,1,67
486,1,64
487,0,79
488,0,70
489,0,73
490,1,66
491,1,63
492,1,67
493,1,60
494,1,60
495,0,70
496,0,69
497,0,70
498,1,61
499,1,59
500,0,67
501,0,66
502,1,68
503,0,67
504,0,75
505,1,57
506,1,59
507,1,62
508,0,73
509,1,64
510,1,64
511,0,71
512,1,60
513,0,69
514,0,65
515,1,62
516,0,74
517,1,53
518,1,59
519,1,65
520,1,60
521,1,71
522,0,72
523,1,71
524,0,73
525,0,69
526,0,69
527,0,63
528,0,67
529,0,70
530,1,67
531,0,67
532,0,70
533,0,65
534,0,68
535,0,70
536,0,79
537,0,74
538,0,74
539,1,65
540,0,69
541,0,71
542,1,59
543,0,70
544,1,63
545,0,65
546,1,65
547,1,66
548,1,64
549,1,60
550,1,63
551,0,67
552,1,63
553,1,63
554,1,58
555,1,63
556,1,64
557,0,70
558,1,64
559,0,72
560,1,62
561,1,53
562,1,57
563,0,69
564,0,73
565,0,67
566,1,51
567,0,68
568,1,60
569,0,70
570,1,61
571,1,67
572,1,63
573,1,66
574,0,71
575,0,74
576,0,70
577,1,56
578,1,55
579,0,70
580,0,71
581,1,65
582,1,65
583,0,65
584,1,64
585,1,71
586,1,65
587,1,60
588,1,68
589,0,73
590,1,62
591,1,71
592,1,56
593,1,60
594,0,66
595,1,64
596,0,74
597,1,67
598,0,69
599,1,70
600,0,75
601,1,59
602,1,65
603,1,63
604,0,71
605,1,59
606,0,72
607,1,59
608,0,69
609,1,61
610,0,67
611,0,72
612,1,65
613,1,59
614,1,70
615,1,62
616,1,66
617,1,72
618,1,53
619,0,66
620,0,66
621,1,72
622,1,55
623,1,65
624,0,73
625,1,67
626,0,71
627,1,61
628,1,62
629,0,70
630,1,63
631,0,66
632,1,68
633,1,73
634,0,68
635,1,64
636,0,66
637,0,69
638,0,71
639,0,71
640,1,65
641,1,62
642,0,75
643,1,59
644,1,61
645,1,64
646,0,69
647,0,71
648,0,74
649,0,64
650,1,61
651,1,59
652,0,71
653,0,66
654,0,68
655,1,62
656,1,66
657,1,61
658,0,72
659,0,68
660,0,68
661,0,64
662,1,66
663,0,70
664,0,68
665,1,67
666,0,71
667,0,69
668,0,77
669,0,70
670,0,69
671,0,66
672,0,72
673,0,70
674,1,67
675,0,63
676,1,70
677,1,61
678,1,59
679,0,66
680,1,57
681,1,61
682,0,71
683,0,69
684,1,58
685,1,65
686,0,67
687,1,65
688,1,66
689,1,68
690,0,72
691,0,70
692,0,70
693,1,67
694,1,63
695,1,69
696,1,60
697,0,66
698,1,61
699,1,65
700,0,72
701,0,70
702,1,63
703,1,58
704,1,64
705,0,69
706,1,66
707,0,72
708,0,72
709,1,58
710,0,69
711,1,66
712,0,75
713,1,64
714,0,76
715,1,64
716,0,67
717,0,69
718,1,62
719,0,68
720,1,64
721,1,62
722,0,68
723,1,66
724,1,64
725,1,64
726,1,60
727,0,70
728,1,72
729,0,70
730,0,73
731,0,70
732,1,64
733,0,68
734,1,62
735,0,68
736,1,66
737,0,69
738,1,64
739,1,61
740,1,68
741,1,55
742,1,66
743,0,76
744,0,66
745,0,70
746,1,66
747,1,69
748,0,65
749,1,65
750,0,74
751,0,74
752,0,67
753,0,70
754,0,73
755,1,66
756,1,64
757,1,66
758,0,72
759,1,57
760,1,61
761,0,76
762,1,66
763,1,69
764,1,66
765,0,75
766,0,67
767,0,73
768,0,75
769,1,63
770,0,69
771,0,63
772,0,74
773,1,64
774,0,65
775,0,72
776,0,73
777,0,72
778,1,63
779,0,66
780,0,69
781,1,67
782,0,72
783,1,68
784,0,74
785,1,64
786,0,71
787,1,61
788,1,70
789,1,73
790,1,64
791,0,67
792,0,68
793,0,73
794,0,70
795,1,62
796,1,67
797,0,72
798,1,65
799,1,59
800,1,70
801,1,66
802,0,66
803,1,69
804,0,75
805,1,61
806,1,62
807,0,60
808,1,55
809,1,72
810,0,69
811,1,69
812,1,71
813,0,69
814,0,70
815,1,66
816,0,69
817,0,70
818,1,67
819,1,58
820,1,65
821,1,61
822,0,69
823,1,66
824,0,72
825,0,68
826,1,60
827,1,64
828,1,61
829,0,75
830,1,67
831,1,63
832,1,68
833,0,76
834,1,70
835,1,67
836,1,59
837,1,68
838,1,60
839,1,66
840,0,71
841,0,71
842,1,69
843,1,63
844,1,63
845,1,67
846,0,67
847,1,64
848,0,66
849,0,68
850,0,66
851,0,71
852,1,61
853,1,63
854,1,67
855,1,62
856,1,62
857,1,69
858,1,69
859,0,73
860,0,74
861,1,65
862,1,63
863,1,69
864,0,72
865,0,73
866,0,73
867,1,62
868,0,67
869,1,67
870,1,58
871,1,53
872,1,69
873,1,61
874,0,68
875,1,53
876,0,72
877,0,74
878,0,66
879,1,65
880,1,57
881,0,68
882,1,66
883,1,64
884,0,67
885,0,71
886,1,60
887,1,73
888,1,57
889,0,70
890,1,72
891,1,65
892,0,66
893,0,71
894,0,70
895,1,64
896,1,63
897,0,71
898,1,63
899,1,63
900,0,71
901,1,65
902,1,63
903,1,66
904,0,67
905,0,70
906,0,65
907,1,64
908,0,68
909,1,55
910,1,59
911,1,56
912,1,68
913,0,73
914,0,72
915,1,60
916,0,68
917,1,67
918,1,69
919,0,69
920,0,73
921,1,63
922,0,71
923,0,69
924,1,63
925,1,62
926,1,67
927,0,73
928,1,59
929,0,73
930,0,68
931,1,60
932,1,69
933,1,60
934,1,67
935,0,69
936,0,72
937,0,69
938,1,55
939,0,74
940,1,69
941,0,71
942,0,69
943,1,55
944,1,57
945,1,63
946,0,71
947,0,72
948,1,62
949,1,60
950,0,70
951,0,73
952,1,68
953,1,68
954,1,67
955,1,73
956,0,72
957,1,62
958,1,65
959,0,71
960,1,66
961,0,64
962,0,69
963,0,65
964,0,75
965,1,57
966,1,65
967,1,62
968,0,72
969,0,70
970,1,66
971,1,58
972,0,67
973,0,67
974,1,59
975,0,67
976,1,63
977,1,61
978,0,73
979,0,68
980,1,64
981,1,65
982,1,62
983,0,69
984,0,70
985,1,64
986,0,68
987,1,59
988,1,62
989,0,69
990,1,60
991,0,71
992,1,63
993,1,65
994,0,68
995,0,72
996,1,62
997,1,67
998,0,72
999,0,64
1000,1,65
1001,0,66
1002,1,70
1003,0,69
1004,1,60
1005,0,75
1006,0,70
1007,1,60
1008,1,59
1009,0,71
1010,0,71
1011,1,60
1012,0,70
1013,1,72
1014,0,72
1015,0,78
1016,1,62
1017,1,60
1018,1,65
